item,lower_ns,typical_ns,upper_ns
rust.day01.parse.nosum.realinput/parse,188715.4428240922,188938.18775035712,189170.39807162658
rust.day01.part1.realinput/part1,204249.39824524368,204939.25079355697,205707.82225338524
rust.day01.part2.realinput/part2,205065.7826126675,205767.6380830501,206487.35544691587
python.day01.soln1.realinput/part1,1668471.9896549918,1874990.7500042203,2081509.5103534488
python.day01.soln1.realinput/part2,2272139.3585566157,2353768.359381547,2435397.3602064787
rust.day02.parse.nosum.realinput/parse,2352.6780547456365,2361.373478780714,2371.1492813967056
rust.day02.part1.realinput/part1,57816191.60425,57998174.02,58203496.46725
rust.day02.part2.realinput/part2,142626261.58,144576348.5,146495647.44500002
python.day02.soln1.realinput/part1,1234976490.7723267,1253391303.8000414,1271806116.8277562
python.day02.soln1.realinput/part2,5560674905.425486,5623301734.666651,5685928563.907816
rust.day03.parse.nosum.realinput/parse,37646.26788463334,37782.254246807766,37950.187119564536
rust.day03.part1.realinput/part1,77757.89679361522,77999.62056473157,78288.61342679839
rust.day03.part2.realinput/part2,110669.36269371549,110906.37103590956,111156.99961922641
python.day03.soln1.realinput/part1,4373737.354106741,4429397.712510763,4485058.070914784
python.day03.soln1.realinput/part2,6247739.019926698,6330911.056246199,6414083.0925656995
rust.TOTAL,201040195.62459525,203174135.40047723,205300784.7029963
python.TOTAL,6810213483.920057,6891682106.344834,6973150728.769612
